I1,I2,I3
1.15,1.092,0.137
0.46,1.219,0.032
1.379,1.062,0.07
1.15,0.808,0.07
0.689,0.86,0.327
1.38,1.092,0.111
1.379,1.152,0.189
1.378,1.137,-0.042
0.92,1.077,0.006
1.38,0.763,0.082
1.379,0.703,0.243
0.689,0.778,0.313
1.148,0.92,0.295
0.69,0.95,0.223
0.919,1.122,0.128
0.92,1.107,0.054
1.15,0.763,-0.018
0.92,0.666,0.062
1.379,0.666,0.332
1.151,0.763,0.349
1.15,0.86,0.106
1.379,0.875,-0.046
1.38,0.95,-0.114
0.92,0.763,-0.09
0.919,0.464,0.115
1.15,0.359,0.216
1.379,0.389,0.242
1.38,0.546,0.302
1.38,0.591,0.255
0.92,0.688,0.21
1.15,0.688,0.116
1.38,0.666,-0.132
1.15,0.718,-0.198
0.919,0.516,-0.194
0.919,0.217,-0.037
1.379,-0.052,0.2
1.15,-0.142,0.492
1.61,-0.067,0.577
0.919,0.09,0.505
0.92,0.105,0.416
1.38,0.045,0.35
1.38,-0.082,0.399
0.69,-0.082,0.352
1.148,-0.052,0.297
1.15,0.03,0.352
1.15,0.06,0.134
1.38,-0.022,0.134
1.379,-0.112,0.059
1.15,-0.112,0.109
0.69,-0.097,0.035
1.379,-0.037,-0.039
1.381,0,-0.04
1.15,-0.022,-0.198
1.38,-0.097,-0.118
1.15,-0.142,-0.28
1.15,-0.194,-0.127
0.919,-0.284,-0.106
0.689,-0.367,-0.133
1.15,-0.269,-0.042
1.15,0.015,-0.175
0.689,0.187,-0.182
0.689,0.15,-0.636
0.689,-0.157,-0.675
1.61,-0.299,-0.491
1.15,-0.299,-0.452
1.609,-0.426,-0.345
1.15,-0.524,-0.417
1.15,-0.613,-0.195
0.689,-0.658,-0.239
1.379,-0.658,-0.159
1.38,-0.554,-0.212
1.15,-0.568,-0.236
1.379,-0.987,-0.151
1.15,-0.898,-0.237
1.15,-0.8,-0.211
1.379,-0.928,-0.277
1.378,-1.227,-0.217
1.38,-1.159,-0.045
1.38,-1.129,-0.066
0.689,-1.07,-0.068
0.92,-0.942,-0.055
1.15,-0.972,-0.195
1.378,-1.1,-0.316
1.379,-1.025,-0.197
1.61,-0.942,-0.167
1.15,-0.972,-0.164
1.15,-0.853,-0.114
1.61,-0.83,-0.21
1.15,-1.085,-0.219
0.689,-1.129,-0.104
1.15,-0.972,-0.111
1.611,-0.987,-0.094
0.69,-0.957,-0.068
1.15,-0.898,-0.09
